ID,link
theweek,"	http://www.theweek.in/news/biz-tech/reliance-jio-set-to-disrupt-india-telecom-market.html"
theweek,"	http://www.theweek.in/news/biz-tech/reliance-jio-16mn-usersworld-record.html"
theweek,"	http://www.theweek.in/news/biz-tech/vodafone-injects-7billion-into-indian-arm.html"
theweek,"	http://www.theweek.in/news/biz-tech/bsnl-all-set-to-take-on-reliance-jio-in-tariff-war.html"
theweek,"	http://www.theweek.in/news/biz-tech/jio-says-airtel-gesture-welcome-but-wont-address-call-drops.html"
theweek,"	http://www.theweek.in/news/biz-tech/reliance-jio-leeco-tie-up-to-offer-jio-welcome-offer-to-customers.html"
theweek,"	http://www.theweek.in/theweek/business/the-data-war.html"
theweek,"	http://www.theweek.in/news/biz-tech/reliance-jio-accuses-coai-of-serving-vested-interests.html"
economictimes,"	http://telecom.economictimes.indiatimes.com/news/major-events-that-shaped-telecom-industry-in-2016/56021735"
economictimes,"	http://telecom.economictimes.indiatimes.com/news/reliance-jio-interconnection-vodafone-challenges-trai-penalty-recommendation-in-delhi-hc/56016308"
economictimes,"	http://telecom.economictimes.indiatimes.com/news/heres-why-reliance-jio-users-spend-less-time-on-wifi/56012752"
economictimes,"	http://telecom.economictimes.indiatimes.com/news/netflix-in-talks-with-reliance-jio-airtel-and-others-for-seamless-streaming-experience-for-its-indian-consumers/56012622"
economictimes,"	http://telecom.economictimes.indiatimes.com/news/reliance-jio-effect-telcos-pushing-secondary-verticals-for-revenue/55992223"
economictimes,"	http://telecom.economictimes.indiatimes.com/news/jio-effect-aircel-launches-unlimited-voice-calls-data-offers/55976282"
economictimes,http://telecom.economictimes.indiatimes.com/news/volte-is-the-new-battleground-for-smartphone-vendors-in-india-courtesy-reliance-jio/50015666
economictimes,http://telecom.economictimes.indiatimes.com/news/bharti-airtel-challenges-trais-permission-to-reliance-jio-to-continue-free-offer/56145453
economictimes,http://telecom.economictimes.indiatimes.com/news/kochi-corporation-slaps-fine-on-reliance-jio-for-erecting-poles-without-approvals/56135881
economictimes,http://telecom.economictimes.indiatimes.com/news/idea-cellular-evaluating-a-rights-issue-to-raise-800-million-report/56136675
economictimes,http://telecom.economictimes.indiatimes.com/news/jios-subscriber-base-may-touch-100-mn-by-march-2017-fitch-ratings/56135859
economictimes,http://telecom.economictimes.indiatimes.com/news/telcos-and-device-makers-slam-governments-local-checks-on-imported-products/56132586
economictimes,http://telecom.economictimes.indiatimes.com/news/telecom-regulator-trai-defends-fine-on-vodafone/56131797
economictimes,http://telecom.economictimes.indiatimes.com/news/airtel-aircel-to-appear-before-parliament-panel-on-call-drops/56132277
economictimes,http://telecom.economictimes.indiatimes.com/news/vodafone-to-offer-400mb-data-on-first-download-of-vodafone-play/56121645
indianexpress,"	http://indianexpress.com/article/technology/tech-news-technology/trai-recommendation-to-impose-fine-on-vodafone-challenged-in-delhi-hc-4430124/"
indianexpress,"	http://indianexpress.com/article/technology/tech-news-technology/now-aircel-announces-unlimited-voice-calling-to-take-on-rivals-4426627/"
indianexpress,"	http://indianexpress.com/article/technology/tech-news-technology/free-unlimited-voice-calling-here-are-top-postpaid-plans-from-airtel-vodafone-and-idea-4420230/"
indianexpress,"	http://indianexpress.com/article/india/telecom-customer-base-reached-to-1074-million-with-jio-entry-in-september-trai-4419373/"
indianexpress,"	http://indianexpress.com/article/technology/tech-news-technology/now-vodafone-announces-unlimited-voice-calling-for-prepaid-users-4419158/"
indianexpress,"	http://indianexpress.com/article/technology/tech-news-technology/idea-now-offering-unlimited-voice-calling-to-compete-with-jio-airtel-here-are-the-plans-4417505/"
indianexpress,"	http://indianexpress.com/article/technology/tech-news-technology/call-drop-way-above-benchmark-meet-with-telecom-companies-next-week-trai-4417438/"
indianexpress,"	http://indianexpress.com/article/technology/tech-news-technology/reliance-jio-effect-vodafone-halves-4g-mobile-broadband-price-4416614/"
indianexpress,"	http://indianexpress.com/article/technology/social/whatsapp-hoax-alert-bsnl-airtel-not-offering-free-unlimited-data-calls-4415418/"
indianexpress,"	http://indianexpress.com/article/technology/tech-news-technology/reliance-jio-free-services-till-march-2017-trai-will-examine-offer-4406253/"
indianexpress,"	http://indianexpress.com/article/technology/tech-news-technology/bsnl-unlimited-calling-offers-start-at-rs-99-gives-300-mb-data-4431676/"
indianexpress,http://indianexpress.com/article/explained/why-4g-is-crucial-to-indias-internet-growth/
indianexpress,http://indianexpress.com/article/technology/tech-news-technology/india-smartphone-shipments-idc-2015-4g-top-players/
indianexpress,http://indianexpress.com/article/technology/tech-news-technology/airtel-challenges-trais-permission-to-jio-to-continue-promo-offer-till-march-4442722/
indianexpress,http://indianexpress.com/article/business/companies/jios-free-calls-bharti-airtel-moves-tdsat-against-trai-4442511/
indianexpress,http://indianexpress.com/article/technology/social/facebook-report-shows-increase-in-data-requests-from-india-4442841/
indianexpress,http://indianexpress.com/article/business/economy/at-reliance-jio-money-announcement-mukesh-ambani-praises-pm-narendra-modis-demonetisation-move/
indianexpress,http://indianexpress.com/article/business/companies/jio-money-merchant-solution-mukesh-ambani-announces-new-e-wallet/
indianexpress,http://indianexpress.com/article/technology/tech-news-technology/jios-subscriber-base-may-touch-100-million-by-march-2017-fitch-ratings-4441525/
hindu,"	http://www.thehindu.com/business/Industry/Will-match-Reliance-Jio-%E2%80%98tariff-by-tariff%E2%80%99-says-BSNL/article14624978.ece"
hindu,"	http://www.thehindu.com/news/cities/mumbai/vodafone-follows-airtel-into-4g-fray-reliance-still-a-noshow/article7963781.ece"
